Time (s)	random
9.60103928307e-05	0.890609337396
1.00006914329	0.340495096317
2.00005057338	0.865818634428
3.00005017827	0.550912502432
3.99998419582	0.980011160453
5.00006440203	0.761566155791
6.00006400693	0.544613927836
7.00007388454	0.774954669021
7.99999288812	0.714002513703
9.00007744048	0.231598250031
10.0000482027	0.0711710014163
11.0000900838	0.759949154248
12.0000426713	0.69093488088
13.000090874	0.980983028992
14.0001070733	0.221450028437
15.0001035174	0.619114000699
16.0000596608	0.849356809292
17.0001359159	0.892709878373
18.0001193216	0.0385999092705
19.000147374	0.754661742198
20.0001153705	0.220427105582
21.0001339404	0.409924291363
22.0000964055	0.987491041273
23.0001450034	0.834773750727
